Question,Answer
What is a firewall in cybersecurity?,A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predetermined security rules.
What are the common types of cyberattacks?,"Common types of cyberattacks include phishing, malware, ransomware, DDoS attacks, man-in-the-middle attacks, and SQL injection."
How does encryption help in cybersecurity?,Encryption helps protect sensitive data by converting it into a secure format that can only be decrypted by authorized parties using a specific key.
What is two-factor authentication (2FA)?,Two-factor authentication (2FA) is a security process in which users provide two different authentication factors to verify their identity for added security.
What is the difference between a virus and a worm?,"A virus needs a host program to spread, whereas a worm can self-replicate and spread across networks without a host program."
How can you protect against phishing attacks?,"You can protect against phishing by using email filters, avoiding clicking on suspicious links, enabling 2FA, and verifying the sender's identity."
What is the role of a penetration tester in cybersecurity?,A penetration tester evaluates the security of systems by simulating real-world attacks to identify vulnerabilities that could be exploited by attackers.
What is a Zero-Day vulnerability?,A Zero-Day vulnerability refers to a flaw in software that is unknown to the vendor and can be exploited by attackers before a patch is released.
What is a man-in-the-middle (MITM) attack?,A MITM attack occurs when an attacker secretly intercepts and potentially alters communication between two parties who believe they are directly communicating.
How does a Distributed Denial of Service (DDoS) attack work?,"A DDoS attack overwhelms a target server or network by flooding it with excessive traffic from multiple sources, causing disruption or service unavailability."
What is phishing in cybersecurity?,"Phishing is a form of social engineering and a scam where attackers deceive people into revealing sensitive information or installing malware such as viruses, worms, adware, or ransomware. Phishing attacks often mirror the targeted site, allowing attackers to observe and bypass security measures. It is the most common type of cybercrime as of 2020, according to the FBI's Internet Crime Complaint Center."
"What is the origin of the term ""phishing""?","The term ""phishing"" was first recorded in 1995 in the cracking toolkit AOHell and may have been used earlier in the hacker magazine 2600. It is derived from ""fishing"" and refers to using lures to ""fish"" for sensitive information."
How can phishing attacks be prevented or mitigated?,"Phishing attacks can be prevented or mitigated through legislation, user education, public awareness, and technical security measures. Awareness has become increasingly important, with phishing attacks in businesses rising from 72% in 2017 to 86% in 2020."
What are the common components of phishing emails?,"Common components of phishing emails include a fraudulent but similar domain name for the sender, incorrect branding, generic information, spelling errors, a sense of urgency, a fake link, and an incorrect name."
What is email phishing?,"Email phishing is a type of phishing attack delivered via email spam that tricks individuals into revealing sensitive information or login credentials. It is often a bulk attack targeting a wide audience and is used to steal information, install malware, or compromise accounts for further exploitation, including selling streaming service accounts on darknet markets."
What is spear phishing?,"Spear phishing is a targeted phishing attack that uses personalized messaging to deceive a specific individual or organization. It often uses personal information to increase success, typically targeting executives or financial departments for access to sensitive data. Spear phishing attacks have been used by groups like the Russian governmentâ€™s Threat Group-4127 (Fancy Bear) against high-profile targets such as Hillary Clinton's 2016 presidential campaign."
How does spear phishing target specific individuals or organizations?,"Spear phishing uses personalized emails and messages, often containing personal information about the target, to increase the chances of success. It typically targets individuals with access to sensitive financial data, such as executives or those in financial departments."
What was the result of the study on spear phishing susceptibility?,"A study found that 43% of youth aged 18â€“25 and 58% of older users clicked on simulated phishing links over 21 days. Older women had the highest susceptibility, while younger users became less susceptible as the study progressed, though susceptibility remained stable in older users."
What is voice phishing (vishing)?,"Vishing, or voice phishing, is a type of attack where attackers use Voice over IP (VoIP) to make automated phone calls, often using text-to-speech synthesizers, to deceive victims into revealing sensitive information. Attackers spoof phone numbers to appear legitimate and may connect victims to live individuals who use social engineering tactics to extract information."
